,State,Month,total_doses_day,total_samples_day,Projected Total Population,testing_rate,vaccination_rate,PHC,CHC,SDH,DH,Total,num_beds,total_hosp,hosp_per_capita,Hospital_Category,HDI,HDI_Category
91,Himachal Pradesh,4,1256876.0,249056.0,7451955,3.3421565213423863,16.86639277880771,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
92,Himachal Pradesh,5,662916.0,412643.0,7451955,5.537379117292039,8.895866923512017,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
93,Himachal Pradesh,6,1410030.0,515943.0,7451955,6.923592533771339,18.921611845482158,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
94,Himachal Pradesh,7,1356404.0,396277.0,7451955,5.317758896826403,18.201988605674618,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
95,Himachal Pradesh,8,409750.0,127196.0,7451955,1.7068809460067862,5.498557090052207,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
96,Jammu and Kashmir,1,21268.0,721713.0,13606320,5.3042483198984005,0.15630971489719483,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
97,Jammu and Kashmir,2,216807.0,657278.0,13606320,4.830681624421592,1.5934286419840193,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
98,Jammu and Kashmir,3,555648.0,849922.0,13606320,6.2465236742925345,4.0837493164941,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
99,Jammu and Kashmir,4,1558847.0,1216934.0,13606320,8.94388784035654,11.456786258150624,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
100,Jammu and Kashmir,5,952953.0,1298638.0,13606320,9.544373497021972,7.003752667877869,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
101,Jammu and Kashmir,6,1224533.0,1393519.0,13606320,10.241703855267257,8.999736886976052,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
102,Jammu and Kashmir,7,1689805.0,1758298.0,13606320,12.92265653020067,12.419265458992585,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
103,Jammu and Kashmir,8,593002.0,588590.0,13606320,4.32585739568083,4.358283503548352,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
104,Jharkhand,1,31672.0,417879.0,38593948,1.08275784586744,0.0820646801928634,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
105,Jharkhand,2,281766.0,311395.0,38593948,0.8068493018646342,0.7300781977526631,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
106,Jharkhand,3,1387979.0,352834.0,38593948,0.914221058700706,3.5963643833483947,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
107,Jharkhand,4,1453169.0,1040061.0,38593948,2.6948810730635797,3.7652768770896414,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
108,Jharkhand,5,1080227.0,1569707.0,38593948,4.067236137645208,2.798954385283413,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
109,Jharkhand,6,2659790.0,1492697.0,38593948,3.8676970803816184,6.891728205676186,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
110,Jharkhand,7,2735622.0,1677444.0,38593948,4.346391304667768,7.088214970906838,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
111,Jharkhand,8,788530.0,523232.0,38593948,1.3557358785890472,2.0431441737963683,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
112,Karnataka,1,247613.0,2955772.0,67562686,4.374858631286506,0.3664937181449536,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
113,Karnataka,2,607779.0,1762845.0,67562686,2.609199107329747,0.8995779119853229,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
114,Karnataka,3,3324624.0,2614451.0,67562686,3.869667052609483,4.920799033951965,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
115,Karnataka,4,5690224.0,4185765.0,67562686,6.195379798843403,8.42213999603272,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
116,Karnataka,5,4040951.0,4139969.0,67562686,6.127596821713098,5.981039593363709,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
117,Karnataka,6,9029024.0,4532767.0,67562686,6.708979865010104,13.363921025875142,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
118,Karnataka,7,7658800.0,4379771.0,67562686,6.482529424599845,11.335842982915155,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
119,Karnataka,8,2909329.0,1455417.0,67562686,2.154172792952607,4.306118024970173,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
120,Kerala,1,140906.0,1713979.0,35699443,4.801136533138626,0.3947008360886751,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
121,Kerala,2,452427.0,1850371.0,35699443,5.183192914242388,1.2673222940761288,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
122,Kerala,3,3101944.0,1682580.0,35699443,4.7131827799106,8.689054336225919,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
123,Kerala,4,3802077.0,2640660.0,35699443,7.39692213125006,10.650241797890237,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
124,Kerala,5,2036789.0,3996404.0,35699443,11.194583624175873,5.7053803332449755,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
125,Kerala,6,4682003.0,3277741.0,35699443,9.18149059076356,13.115058966046053,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
